,case_identifier,inputstate_2016,healthcov2_2,educ_2016,marstat_2016,faminc_2016,presvote16post_2016
323,6486587,West Virginia,,Some college,Married,"$40,000 - $49,999",Hillary Clinton
324,6488348,New York,,Post-grad,Married,"$120,000 - $149,999",Donald Trump
325,6488591,Illinois,,Post-grad,Married,"$60,000 - $69,999",Hillary Clinton
326,6489881,New Jersey,,Post-grad,Divorced,"$70,000 - $79,999",Donald Trump
327,6492236,Washington,,4-year,Widowed,Prefer not to say,Donald Trump
328,6493475,Georgia,,High school graduate,Married,"$60,000 - $69,999",Donald Trump
329,6493781,Pennsylvania,,High school graduate,Widowed,"$30,000 - $39,999",Gary Johnson
330,6497096,Arizona,,4-year,Married,"$50,000 - $59,999",Donald Trump
331,6497288,Mississippi,,Post-grad,Married,"$120,000 - $149,999",Donald Trump
332,6501659,California,,Post-grad,Married,"$250,000 - $349,999",Jill Stein
333,6503879,Illinois,,Post-grad,Single,"$100,000 - $119,999",Donald Trump
334,6505772,Massachusetts,,Post-grad,Married,"$350,000 - $499,999",Donald Trump
335,6505883,Washington,,4-year,Married,"$120,000 - $149,999",Donald Trump
336,6507935,Florida,,High school graduate,Married,"$20,000 - $29,999",Donald Trump
337,6510563,Texas,,Post-grad,Widowed,"$60,000 - $69,999",Donald Trump
338,6511742,Texas,,4-year,Married,"$100,000 - $119,999",Donald Trump
339,6511793,Florida,,4-year,Single,"$20,000 - $29,999",Hillary Clinton
340,6512660,California,,4-year,Divorced,"$20,000 - $29,999",Hillary Clinton
341,6513770,Ohio,,2-year,Single,"Less than $10,000",Hillary Clinton
342,6517199,North Carolina,,Post-grad,Married,Prefer not to say,Hillary Clinton
343,6518696,Missouri,,Some college,Married,"$30,000 - $39,999",Donald Trump
344,6520697,North Carolina,,4-year,Single,"$80,000 - $99,999",Hillary Clinton
345,6520724,Missouri,,4-year,Married,"$100,000 - $119,999",Donald Trump
346,6521126,Michigan,,2-year,Single,"$20,000 - $29,999",Donald Trump
347,6525953,Washington,,Some college,Married,"$80,000 - $99,999",Hillary Clinton
348,6526178,Washington,,High school graduate,Married,"$50,000 - $59,999",Donald Trump
349,6528290,Tennessee,,Some college,Married,"$70,000 - $79,999",Donald Trump
350,6528377,Colorado,,4-year,Married,Prefer not to say,Hillary Clinton
