,case_identifier,inputstate_2016,healthcov2_2,educ_2016,marstat_2016,faminc_2016,presvote16post_2016
351,6530339,Mississippi,,Some college,Married,"$60,000 - $69,999",Other
352,6531266,Illinois,,Post-grad,Married,"$100,000 - $119,999",Hillary Clinton
353,6532187,Michigan,,Post-grad,Married,"$150,000 - $199,999",Donald Trump
354,6532658,Florida,,4-year,Single,Prefer not to say,Hillary Clinton
355,6532769,New York,,4-year,Married,"$120,000 - $149,999",Donald Trump
356,6533945,Ohio,,4-year,Married,"$100,000 - $119,999",Donald Trump
357,6536294,New York,,No HS,Married,"$120,000 - $149,999",Donald Trump
358,6536567,Texas,,Post-grad,Married,Prefer not to say,Hillary Clinton
359,6537491,Maryland,,4-year,Single,"$60,000 - $69,999",Other
360,6540710,Georgia,,Post-grad,Married,"$100,000 - $119,999",Donald Trump
361,6541916,Florida,,Post-grad,Married,"$80,000 - $99,999",Donald Trump
362,6547295,California,,4-year,Divorced,"$100,000 - $119,999",Hillary Clinton
363,6549413,Oregon,,Post-grad,Married,"$30,000 - $39,999",Hillary Clinton
364,6555185,North Carolina,,Post-grad,Married,"$200,000 - $249,999",Donald Trump
365,6555551,Tennessee,,Post-grad,Married,"$100,000 - $119,999",Other
366,6559001,Pennsylvania,,Post-grad,Married,"$120,000 - $149,999",Hillary Clinton
367,6559061,Montana,,Some college,Divorced,"$40,000 - $49,999",Hillary Clinton
368,6559694,Tennessee,,4-year,Married,"$120,000 - $149,999",Donald Trump
369,6560996,California,,4-year,Married,"$100,000 - $119,999",Donald Trump
370,6561803,Pennsylvania,,High school graduate,Married,Prefer not to say,Donald Trump
371,6565658,California,,2-year,Widowed,"$40,000 - $49,999",Donald Trump
372,6565907,Idaho,,4-year,Married,"$60,000 - $69,999",Evan McMullin
373,6568007,Missouri,,4-year,Married,"$80,000 - $99,999",Other
374,6569282,California,,Some college,Married,"$120,000 - $149,999",Donald Trump
375,6571295,Illinois,,Post-grad,Single,"$70,000 - $79,999",Jill Stein
376,6571673,Texas,,4-year,Single,"$60,000 - $69,999",Hillary Clinton
377,6571709,California,,Post-grad,Married,Prefer not to say,Donald Trump
378,6571925,North Carolina,,High school graduate,Married,Prefer not to say,Donald Trump
379,6574859,California,,4-year,Widowed,"$40,000 - $49,999",Donald Trump
380,6576314,Maryland,,4-year,Single,"$10,000 - $19,999",Donald Trump
381,6576614,New York,,Post-grad,Married,"$70,000 - $79,999",Donald Trump
382,6580442,North Carolina,,4-year,Married,Prefer not to say,Donald Trump
383,6583550,Utah,,4-year,Married,"$70,000 - $79,999",Evan McMullin
384,6583586,Virginia,,Some college,Married,"$50,000 - $59,999",Gary Johnson
385,6583751,California,,Post-grad,Divorced,"$70,000 - $79,999",Donald Trump
386,6583835,Colorado,,4-year,Married,"$120,000 - $149,999",Donald Trump
387,6585035,Wisconsin,,2-year,Married,"$70,000 - $79,999",Other
388,6585683,California,,4-year,Married,"$60,000 - $69,999",
389,6586079,Maryland,,4-year,Divorced,Prefer not to say,Donald Trump
390,6586151,Kentucky,,Some college,Married,"$70,000 - $79,999",Donald Trump
391,6586184,Michigan,,4-year,Married,"$150,000 - $199,999",Hillary Clinton
392,6586757,New York,,4-year,Married,"$70,000 - $79,999",Donald Trump
393,6591026,Ohio,,Post-grad,Married,"$120,000 - $149,999",Hillary Clinton
394,6591209,California,,High school graduate,Divorced,"$30,000 - $39,999",Donald Trump
395,6594854,Michigan,,4-year,Married,"$100,000 - $119,999",Hillary Clinton
396,6595622,New Mexico,,4-year,Married,"$120,000 - $149,999",Donald Trump
397,6601568,California,,Some college,Divorced,"$20,000 - $29,999",Donald Trump
398,6603200,New York,,4-year,Married,"$120,000 - $149,999",Hillary Clinton
399,6604283,Texas,,4-year,Divorced,Prefer not to say,Hillary Clinton
400,6606386,Tennessee,,Post-grad,Married,"$120,000 - $149,999",Hillary Clinton
401,6609650,New York,,Some college,Divorced,"$20,000 - $29,999",Donald Trump
402,6609992,Wisconsin,,High school graduate,Married,"$60,000 - $69,999",Donald Trump
403,6610301,Florida,,Some college,Single,"Less than $10,000",Donald Trump
404,6613085,Arizona,,High school graduate,Widowed,Prefer not to say,Donald Trump
405,6613688,Nebraska,,High school graduate,Married,"$70,000 - $79,999",Donald Trump
406,6615125,Texas,,Post-grad,Married,"$150,000 - $199,999",Donald Trump
407,6617741,Massachusetts,,Post-grad,Single,"$150,000 - $199,999",Donald Trump
408,6618929,Pennsylvania,,High school graduate,Married,"$120,000 - $149,999",Donald Trump
409,6619391,Florida,,2-year,Married,"$120,000 - $149,999",Donald Trump
410,6628448,Pennsylvania,,Some college,Single,"$60,000 - $69,999",Donald Trump
411,6628547,Nebraska,,Post-grad,Married,"$30,000 - $39,999",Donald Trump
412,6631778,Virginia,,Post-grad,Domestic partnership,"$120,000 - $149,999",Hillary Clinton
413,6631814,Indiana,,Some college,Married,"$70,000 - $79,999",Other
414,6633101,Florida,,Post-grad,Married,"$80,000 - $99,999",Donald Trump
415,6639470,California,,4-year,Married,Prefer not to say,Donald Trump
416,6641864,Connecticut,,Some college,Married,"$50,000 - $59,999",Donald Trump
417,6642710,Massachusetts,,Post-grad,Married,"$150,000 - $199,999",Donald Trump
418,6643190,Alaska,,Post-grad,Married,"$80,000 - $99,999",Hillary Clinton
419,6643499,Texas,,Post-grad,Divorced,"$150,000 - $199,999",Hillary Clinton
420,6648632,Wisconsin,,Some college,Separated,"$50,000 - $59,999",Hillary Clinton
421,6648860,Texas,,Some college,Married,"$100,000 - $119,999",Donald Trump
422,6650189,Connecticut,,4-year,Married,Prefer not to say,Donald Trump
423,6650726,Ohio,,Post-grad,Married,"$80,000 - $99,999",Donald Trump
424,6650813,Michigan,,4-year,Single,"Less than $10,000",Hillary Clinton
425,6651488,New York,,Some college,Married,Prefer not to say,Hillary Clinton
426,6652979,Maryland,,Post-grad,Married,Prefer not to say,Donald Trump
427,6653429,Illinois,,Post-grad,Married,"$70,000 - $79,999",Donald Trump
428,6653945,Rhode Island,,Post-grad,Married,"$120,000 - $149,999",Donald Trump
429,6654029,California,,4-year,Married,"$120,000 - $149,999",Hillary Clinton
430,6655043,New Hampshire,,High school graduate,Married,"$80,000 - $99,999",Hillary Clinton
431,6657566,Texas,,4-year,Married,"$100,000 - $119,999",Hillary Clinton
432,6657917,Virginia,,Post-grad,Married,Prefer not to say,Donald Trump
433,6660812,Florida,,2-year,Married,"$60,000 - $69,999",Donald Trump
434,6661295,Texas,,Post-grad,Married,"$150,000 - $199,999",Donald Trump
435,6661598,Texas,,4-year,Married,"$100,000 - $119,999",Donald Trump
436,6664091,Missouri,,4-year,Married,"$40,000 - $49,999",Donald Trump
437,6664313,Maryland,,Post-grad,Single,"$40,000 - $49,999",Donald Trump
438,6664610,Indiana,,Some college,Divorced,Prefer not to say,Donald Trump
439,6665168,Florida,,Post-grad,Married,"$100,000 - $119,999",Hillary Clinton
440,6665867,Pennsylvania,,4-year,Married,"$60,000 - $69,999",Donald Trump
441,6666014,Georgia,,Some college,Single,"$70,000 - $79,999",Donald Trump
442,6666422,Illinois,,4-year,Single,"$30,000 - $39,999",Donald Trump
443,6666698,Iowa,,No HS,Single,"$20,000 - $29,999",Donald Trump
444,6667436,Michigan,,Post-grad,Married,"$60,000 - $69,999",Donald Trump
445,6672815,Ohio,,Post-grad,Single,Prefer not to say,Donald Trump
446,6675608,Wisconsin,,Post-grad,Divorced,"Less than $10,000",Donald Trump
447,6675647,Florida,,4-year,Married,"$70,000 - $79,999",Hillary Clinton
448,6676505,Virginia,,4-year,Married,"$150,000 or more",Hillary Clinton
449,6677243,Virginia,,Some college,Domestic partnership,"$60,000 - $69,999",Gary Johnson
450,6679358,Florida,,4-year,Divorced,"$30,000 - $39,999",Donald Trump
451,6680783,Arizona,,High school graduate,Domestic partnership,"$30,000 - $39,999",Donald Trump
452,6684314,Florida,,Post-grad,Single,"$80,000 - $99,999",Hillary Clinton
453,6687521,Oklahoma,,Some college,Married,"$70,000 - $79,999",Hillary Clinton
454,6687866,Michigan,,Post-grad,Married,"$120,000 - $149,999",Hillary Clinton
455,6688787,California,,4-year,Married,"$40,000 - $49,999",Donald Trump
456,6693383,Arizona,,Post-grad,Married,Prefer not to say,Donald Trump
457,6701261,Nevada,,Some college,Widowed,"$70,000 - $79,999",Hillary Clinton
458,6705101,Indiana,,High school graduate,Married,Prefer not to say,Donald Trump
459,6707144,New York,,2-year,Married,Prefer not to say,Donald Trump
460,6707249,Georgia,,Some college,Married,"$120,000 - $149,999",Donald Trump
461,6708665,Connecticut,,High school graduate,Married,Prefer not to say,Donald Trump
462,6709580,Pennsylvania,,High school graduate,Married,Prefer not to say,Hillary Clinton
463,6710732,New Mexico,,4-year,Single,"$40,000 - $49,999",Hillary Clinton
464,6712967,Wisconsin,,4-year,Married,Prefer not to say,Donald Trump
465,6714713,Texas,,4-year,Married,"$50,000 - $59,999",Hillary Clinton
466,6714797,Colorado,,Post-grad,Married,"$200,000 - $249,999",Donald Trump
467,6715433,Iowa,,Post-grad,Single,"$80,000 - $99,999",Donald Trump
468,6716450,Minnesota,,2-year,Married,"$60,000 - $69,999",Donald Trump
469,6718862,Florida,,Post-grad,Married,"$120,000 - $149,999",Donald Trump
470,6723134,Colorado,,High school graduate,Single,Prefer not to say,Hillary Clinton
471,6723605,Oklahoma,,Some college,Divorced,"$120,000 - $149,999",Hillary Clinton
472,6727082,Pennsylvania,,Some college,Married,"$50,000 - $59,999",Donald Trump
473,6728372,Indiana,,High school graduate,Married,"$20,000 - $29,999",Donald Trump
474,6729515,Pennsylvania,,2-year,Separated,"$50,000 - $59,999",Donald Trump
475,6733367,Florida,,High school graduate,Widowed,"$20,000 - $29,999",Hillary Clinton
476,6735422,Washington,,Some college,Married,"$120,000 - $149,999",Hillary Clinton
477,6735710,Georgia,,Some college,Single,Prefer not to say,Donald Trump
478,6736319,Arizona,,4-year,Married,"$40,000 - $49,999",Hillary Clinton
479,6737153,Texas,,Post-grad,Married,"$80,000 - $99,999",Donald Trump
480,6737678,Georgia,,Some college,Married,"$120,000 - $149,999",Donald Trump
481,6737720,Pennsylvania,,Post-grad,Single,"$30,000 - $39,999",Gary Johnson
482,6738503,Illinois,,Post-grad,Married,Prefer not to say,Other
483,6740108,Arizona,,2-year,Widowed,"$20,000 - $29,999",
484,6741080,Wisconsin,,4-year,Single,"$30,000 - $39,999",Hillary Clinton
485,6741425,Tennessee,,Post-grad,Married,"$40,000 - $49,999",Donald Trump
486,6742754,Minnesota,,High school graduate,Domestic partnership,"$50,000 - $59,999",Donald Trump
487,6744101,Pennsylvania,,4-year,Married,"$100,000 - $119,999",Gary Johnson
488,6744134,Pennsylvania,,4-year,Married,"$120,000 - $149,999",Donald Trump
489,6744299,Pennsylvania,,High school graduate,Single,Prefer not to say,Hillary Clinton
490,6746738,Wisconsin,,Some college,Married,"$40,000 - $49,999",Donald Trump
491,6747674,California,,Some college,Single,Prefer not to say,Donald Trump
492,6752528,Massachusetts,,2-year,Single,"$80,000 - $99,999",Hillary Clinton
493,6753560,Georgia,,No HS,Divorced,"$100,000 - $119,999",Donald Trump
494,6758780,North Carolina,,4-year,Single,"$40,000 - $49,999",Donald Trump
495,6761438,Georgia,,Some college,Widowed,"$30,000 - $39,999",Donald Trump
496,6761912,Massachusetts,,Post-grad,Divorced,"$50,000 - $59,999",Hillary Clinton
497,6762659,North Carolina,,High school graduate,Married,"$40,000 - $49,999",Donald Trump
498,6763586,Maine,,High school graduate,Married,"$20,000 - $29,999",Hillary Clinton
499,6765341,Texas,,Some college,Married,"$30,000 - $39,999",
500,6765902,California,,4-year,Single,"Less than $10,000",Donald Trump
501,6766709,Arkansas,,Post-grad,Single,"$150,000 or more",Hillary Clinton
502,6767135,Florida,,4-year,Married,"$40,000 - $49,999",
503,6767216,Rhode Island,,4-year,Married,"$150,000 or more",Hillary Clinton
504,6767969,Arizona,,4-year,Married,"$250,000 - $349,999",Other
505,6768959,Texas,,4-year,Married,"$60,000 - $69,999",Hillary Clinton
506,6774296,Florida,,Post-grad,Married,"$80,000 - $99,999",Donald Trump
507,6775691,California,,4-year,Married,"$70,000 - $79,999",Hillary Clinton
508,6776069,California,,4-year,Married,"$70,000 - $79,999",Hillary Clinton
509,6776789,California,,Some college,Married,"$80,000 - $99,999",Hillary Clinton
510,6782513,Virginia,,4-year,Married,Prefer not to say,Hillary Clinton
511,6789332,Iowa,,High school graduate,Married,"$20,000 - $29,999",
512,6791075,California,,4-year,Married,"$200,000 - $249,999",Jill Stein
513,6791708,Virginia,,High school graduate,Married,"$70,000 - $79,999",Donald Trump
514,6792740,Pennsylvania,,Post-grad,Married,Prefer not to say,Donald Trump
515,6793784,Vermont,,Post-grad,Married,"$70,000 - $79,999",Hillary Clinton
516,6794795,North Carolina,,Post-grad,Married,Prefer not to say,Hillary Clinton
517,6794855,Colorado,,Post-grad,Married,Prefer not to say,Donald Trump
518,6795356,Kansas,,4-year,Single,"$50,000 - $59,999",Hillary Clinton
519,6796454,Florida,,4-year,Divorced,"$40,000 - $49,999",Donald Trump
520,6798602,Tennessee,,Some college,Single,"$60,000 - $69,999",Donald Trump
521,6807464,Florida,,Some college,Divorced,"$30,000 - $39,999",Donald Trump
522,6807473,Tennessee,,4-year,Married,"$120,000 - $149,999",Hillary Clinton
523,6809582,Missouri,,4-year,Married,"$120,000 - $149,999",Hillary Clinton
524,6811052,Virginia,,Post-grad,Married,"$150,000 - $199,999",Hillary Clinton
525,6811205,Missouri,,High school graduate,Widowed,"$20,000 - $29,999",Donald Trump
526,6811466,Georgia,,2-year,Married,"$50,000 - $59,999",Hillary Clinton
527,6811826,Texas,,Post-grad,Single,"$80,000 - $99,999",Donald Trump
528,6816686,District of Columbia,,Some college,Divorced,"$80,000 - $99,999",Gary Johnson
529,6817205,Maryland,,Some college,Widowed,"$60,000 - $69,999",Donald Trump
530,6817520,Michigan,,4-year,Married,"$30,000 - $39,999",Donald Trump
531,6818873,Washington,,4-year,Married,Prefer not to say,Hillary Clinton
532,6823679,Georgia,,4-year,Divorced,Prefer not to say,
533,6824687,New York,,Some college,Married,"$60,000 - $69,999",Donald Trump
534,6828023,Idaho,,4-year,Married,"$20,000 - $29,999",Donald Trump
535,6830972,Washington,,2-year,Married,"$80,000 - $99,999",Donald Trump
536,6834113,Maryland,,2-year,Widowed,"$40,000 - $49,999",Donald Trump
537,6837512,New York,,High school graduate,Single,"$60,000 - $69,999",Donald Trump
538,6839399,Georgia,,Post-grad,Single,"$120,000 - $149,999",Hillary Clinton
539,6839546,California,,2-year,Divorced,"$50,000 - $59,999",Hillary Clinton
540,6842747,Washington,,2-year,Married,"$150,000 - $199,999",Hillary Clinton
541,6843632,Texas,,Post-grad,Married,"$100,000 - $119,999",Donald Trump
542,6843947,California,,4-year,Married,"$120,000 - $149,999",Hillary Clinton
543,6845414,Oregon,,Post-grad,Married,"$40,000 - $49,999",Hillary Clinton
544,6851144,New Hampshire,,Post-grad,Widowed,"$70,000 - $79,999",Hillary Clinton
545,6851195,Michigan,,Some college,Widowed,"$40,000 - $49,999",Hillary Clinton
546,6852332,Wisconsin,,Some college,Married,"$50,000 - $59,999",Donald Trump
547,6854501,Pennsylvania,,High school graduate,Married,"$50,000 - $59,999",Hillary Clinton
548,6858437,Michigan,,4-year,Married,Prefer not to say,Donald Trump
549,6858470,California,,2-year,Divorced,"$40,000 - $49,999",Donald Trump
550,6859208,Colorado,,Post-grad,Married,"$80,000 - $99,999",Hillary Clinton
551,6859382,North Carolina,,4-year,Married,"$100,000 - $119,999",Hillary Clinton
552,6859421,Illinois,,4-year,Married,"$150,000 - $199,999",Donald Trump
553,6867077,Florida,,4-year,Widowed,"$80,000 - $99,999",Hillary Clinton
554,6869258,Connecticut,,Post-grad,Married,"$200,000 - $249,999",Hillary Clinton
555,6871283,Texas,,Post-grad,Married,"$100,000 - $119,999",Hillary Clinton
556,6874790,Texas,,High school graduate,Married,"$80,000 - $99,999",Donald Trump
557,6883553,North Carolina,,4-year,Single,Prefer not to say,Hillary Clinton
558,6884540,Washington,,High school graduate,Married,"$60,000 - $69,999",Hillary Clinton
559,6885359,Michigan,,4-year,Married,"$70,000 - $79,999",Hillary Clinton
560,6888440,Michigan,,4-year,Married,Prefer not to say,Donald Trump
561,6889742,Georgia,,High school graduate,Married,"$150,000 - $199,999",Gary Johnson
562,6889964,Florida,,4-year,Married,"$150,000 - $199,999",Hillary Clinton
563,6893948,Utah,,4-year,Married,"$80,000 - $99,999",Hillary Clinton
564,6898460,New Hampshire,,Some college,Married,"$60,000 - $69,999",Hillary Clinton
565,6902309,Florida,,4-year,Married,"$120,000 - $149,999",Hillary Clinton
566,6904286,South Carolina,,Some college,Married,"$30,000 - $39,999",Donald Trump
567,6906398,California,,2-year,Married,"$80,000 - $99,999",Donald Trump
568,6907652,Tennessee,,High school graduate,Married,"$70,000 - $79,999",Hillary Clinton
569,6910406,Washington,,Some college,Widowed,"$10,000 - $19,999",Donald Trump
570,6910556,Missouri,,4-year,Married,"$150,000 - $199,999",Hillary Clinton
571,6911897,Tennessee,,4-year,Domestic partnership,"$40,000 - $49,999",Donald Trump
572,6915224,West Virginia,,Post-grad,Divorced,"$100,000 - $119,999",Hillary Clinton
573,6916046,Colorado,,Some college,Married,"$80,000 - $99,999",Hillary Clinton
574,6917012,Florida,,4-year,Married,"$150,000 - $199,999",Donald Trump
575,6918044,North Carolina,,4-year,Married,Prefer not to say,Hillary Clinton
576,6918683,Utah,,4-year,Single,"$70,000 - $79,999",Hillary Clinton
577,6918935,Virginia,,Some college,Married,"$120,000 - $149,999",Donald Trump
578,6919169,Washington,,4-year,Married,"$150,000 or more",Donald Trump
579,6921341,Wisconsin,,Post-grad,Single,"$80,000 - $99,999",Hillary Clinton
580,6923450,Washington,,Some college,Divorced,"Less than $10,000",Hillary Clinton
581,6923495,Arizona,,4-year,Married,"$70,000 - $79,999",Hillary Clinton
582,6924236,Indiana,,4-year,Married,"$100,000 - $119,999",Donald Trump
583,6924272,Florida,,4-year,Married,"$30,000 - $39,999",Donald Trump
584,6925619,Indiana,,4-year,Single,"$80,000 - $99,999",Donald Trump
585,6934139,Georgia,,Post-grad,Married,"$200,000 - $249,999",Other
586,6935420,Virginia,,2-year,Married,"$10,000 - $19,999",Donald Trump
587,6936440,Florida,,2-year,Married,"$120,000 - $149,999",Donald Trump
588,6938666,Texas,,4-year,Married,"$100,000 - $119,999",Donald Trump
589,6940679,New York,,High school graduate,Married,"$60,000 - $69,999",Donald Trump
590,6940712,Illinois,,High school graduate,Widowed,"$20,000 - $29,999",Hillary Clinton
591,6942347,Florida,,4-year,Married,"$80,000 - $99,999",Hillary Clinton
592,6945584,Florida,,Post-grad,Married,"$150,000 - $199,999",Donald Trump
593,6952640,Colorado,,2-year,Married,"$100,000 - $119,999",Donald Trump
594,6955115,North Carolina,,Some college,Married,"$10,000 - $19,999",Hillary Clinton
595,6956033,California,,Some college,Widowed,"$70,000 - $79,999",Hillary Clinton
596,6956480,Pennsylvania,,4-year,Single,"$60,000 - $69,999",
